Time (1/2s):	Pressure (hPa):		Temperature (C):
1 		980.98			12.69
2 		980.99			12.70
3 		980.99			12.75
4 		980.97			12.77
5 		980.99			12.81
6 		980.97			12.83
7 		981.00			12.86
8 		981.01			12.89
9 		981.01			12.91
10 		981.01			12.94
11 		980.98			12.96
12 		980.97			12.99
13 		980.97			13.01
14 		980.99			13.04
15 		980.98			13.07
16 		980.96			13.09
17 		980.97			13.12
18 		980.97			13.15
19 		980.97			13.17
20 		980.96			13.19
21 		980.94			13.23
22 		980.95			13.24
23 		980.95			13.27
24 		980.94			13.29
25 		980.94			13.32
26 		980.93			13.35
27 		980.95			13.37
28 		980.95			13.40
29 		980.95			13.42
30 		980.94			13.44
31 		980.94			13.47
32 		980.93			13.49
33 		980.93			13.52
34 		980.93			13.54
35 		980.94			13.56
36 		980.96			13.59
37 		980.96			13.61
38 		980.98			13.62
39 		980.96			13.65
40 		980.94			13.67
41 		980.95			13.70
42 		980.97			13.72
43 		980.98			13.74
44 		980.97			13.77
45 		980.96			13.79
46 		980.96			13.81
47 		980.99			13.83
48 		980.98			13.86
49 		980.97			13.88
50 		980.97			13.89
51 		980.97			13.92
52 		980.95			13.94
53 		980.95			13.97
54 		980.97			13.99
55 		980.98			14.01
56 		980.97			14.02
57 		980.96			14.05
58 		980.96			14.07
59 		980.96			14.09
60 		980.93			14.11
61 		980.94			14.13
62 		980.95			14.14
63 		980.91			14.17
64 		980.94			14.19
65 		980.93			14.21
66 		980.95			14.22
67 		980.94			14.25
68 		980.91			14.26
69 		980.94			14.29
70 		980.96			14.31
71 		980.95			14.32
72 		980.94			14.35
73 		980.92			14.37
74 		980.93			14.39
75 		980.94			14.40
76 		980.93			14.42
77 		980.93			14.44
78 		980.94			14.46
79 		980.93			14.48
80 		980.94			14.50
81 		980.93			14.52
82 		980.92			14.54
83 		980.92			14.55
84 		980.94			14.57
85 		980.95			14.59
86 		980.93			14.61
87 		980.94			14.63
88 		980.94			14.65
89 		980.94			14.67
90 		980.91			14.69
91 		980.91			14.70
92 		980.92			14.73
93 		980.93			14.74
94 		980.95			14.76
95 		980.96			14.78
96 		980.94			14.80
97 		980.94			14.82
98 		980.95			14.84
99 		980.92			14.85
100 		980.94			14.86
101 		980.95			14.89
102 		980.94			14.90
103 		980.94			14.92
104 		980.93			14.94
105 		980.94			14.95
106 		980.91			14.97
107 		980.93			14.98
108 		980.95			15.00
109 		980.93			15.02
110 		980.94			15.04
111 		980.95			15.05
112 		980.93			15.07
113 		980.91			15.09
114 		980.92			15.10
115 		980.93			15.12
116 		980.92			15.14
117 		980.93			15.16
118 		980.91			15.17
119 		980.93			15.18
120 		980.93			15.21
121 		980.91			15.22
122 		980.92			15.23
123 		980.94			15.26
124 		980.95			15.27
125 		980.94			15.28
126 		980.95			15.29
127 		980.93			15.31
128 		980.94			15.33
129 		980.93			15.35
130 		980.91			15.36
131 		980.92			15.38
132 		980.91			15.39
133 		980.92			15.41
134 		980.92			15.42
135 		980.91			15.44
136 		980.92			15.46
137 		980.93			15.47
138 		980.92			15.49
139 		980.92			15.50
140 		980.94			15.52
141 		980.95			15.53
142 		980.96			15.54
143 		980.96			15.57
144 		980.95			15.58
145 		980.97			15.59
146 		980.95			15.61
147 		980.95			15.62
148 		980.96			15.64
149 		980.96			15.65
150 		980.94			15.67
151 		980.99			15.68
152 		980.93			15.70
153 		980.92			15.71
154 		980.95			15.72
155 		980.96			15.74
156 		980.93			15.76
157 		980.93			15.77
158 		980.94			15.78
159 		980.94			15.80
160 		980.93			15.82
161 		980.91			15.82
162 		980.94			15.84
163 		980.91			15.85
164 		980.93			15.86
165 		980.91			15.88
166 		980.93			15.89
167 		980.90			15.90
168 		980.92			15.92
169 		980.91			15.94
170 		980.90			15.95
171 		980.92			15.97
172 		980.96			15.98
173 		980.94			15.99
174 		980.96			16.01
175 		980.97			16.02
176 		980.99			16.03
177 		980.95			16.05
178 		980.96			16.07
179 		980.95			16.09
180 		980.95			16.10
181 		980.96			16.12
182 		980.95			16.13
183 		980.98			16.14
184 		980.92			16.15
185 		980.92			16.17
186 		980.93			16.18
187 		980.92			16.19
188 		980.93			16.21
189 		980.95			16.22
190 		980.91			16.24
191 		980.91			16.25
192 		980.92			16.27
193 		980.93			16.28
194 		980.91			16.29
195 		980.90			16.30
196 		980.92			16.32
197 		980.91			16.33
198 		980.92			16.34
199 		980.90			16.36
200 		980.92			16.37
201 		980.92			16.38
202 		980.95			16.40
203 		980.89			16.41
204 		980.92			16.43
205 		980.91			16.44
